Colonne1;T0 vs T6L S;T0 vs T6L R;T0 vs T6D S;T0 vs T6D R;T6L vs T6D S;T6L vs T6D R
RC0G0026000;0;0;0;0;0;0
RC0G0026100;0;0;0;0;0;0
RC0G0026200;0;1;0;1;0;0
RC0G0026300;0;0;0;1;0;1
RC0G0026400;0;0;0;0;0;0
RC0G0026500;0;0;0;0;0;0
RC0G0026600;0;0;0;0;0;0
RC0G0026700;0;0;0;0;0;0
RC0G0026800;0;0;0;0;0;0
RC0G0026900;0;0;0;0;0;0
RC0G0027000;0;0;0;0;0;0
RC0G0027100;0;0;0;0;0;0
RC0G0027200;0;0;0;0;0;0
RC0G0027300;0;0;0;0;0;0
RC0G0027400;0;0;0;0;0;0
RC0G0027500;0;0;0;1;0;0
RC0G0027600;0;0;0;0;0;0
RC0G0027700;0;0;0;0;0;0
RC0G0027800;0;0;0;0;0;0
RC0G0027900;0;0;0;1;0;0
RC0G0028000;0;0;0;0;0;0
RC0G0028100;0;0;0;0;0;0
RC0G0028200;0;0;0;0;0;0
RC0G0028300;0;0;0;0;0;0
RC0G0028400;0;0;0;0;0;0
RC0G0028500;0;0;0;0;0;0
RC0G0028600;0;0;0;0;0;0
RC0G0028700;0;0;0;0;0;0
RC0G0028800;0;0;1;0;0;0
RC0G0028900;0;0;0;0;0;0
RC0G0029000;0;0;0;0;0;0
RC0G0029100;0;0;0;0;0;0
RC0G0029200;0;0;0;0;0;0
RC0G0029300;0;0;0;0;0;0
RC0G0029400;0;0;0;1;0;1
RC0G0029500;0;0;0;0;0;0
RC0G0029600;0;0;0;0;0;0
RC0G0029700;0;0;0;0;0;0
RC0G0029800;0;0;0;0;0;0
RC0G0029900;0;0;0;0;0;0
RC0G0030000;0;0;0;0;0;0
RC0G0030100;0;0;0;0;0;0
RC0G0030200;0;0;0;0;0;0
RC0G0030300;0;0;0;0;0;0
RC0G0030400;0;0;0;0;0;0
RC0G0030500;0;0;0;0;0;0
RC0G0030600;0;0;0;0;0;0
RC0G0030700;0;0;0;0;0;0
RC0G0030800;0;0;0;0;0;0
RC0G0030900;0;0;0;0;0;0
RC0G0031000;0;0;0;0;0;0
RC0G0031100;1;0;1;0;0;0
RC0G0031200;0;0;0;0;0;0
RC0G0031300;0;0;0;0;0;0
RC0G0031400;0;0;0;0;0;0
RC0G0031500;0;1;0;0;0;0
RC0G0031600;0;0;0;0;0;0
RC0G0031700;0;0;0;0;0;0
RC0G0031800;0;0;0;1;0;1
RC0G0031900;0;0;0;0;0;0
RC0G0032000;0;0;0;0;0;0
RC0G0032100;0;1;0;1;0;0
RC0G0032200;0;0;0;0;0;0
RC0G0032300;0;0;0;0;0;0
RC0G0032400;0;0;0;0;0;0
RC0G0032500;0;0;0;0;0;0
RC0G0032600;0;0;0;0;0;0
RC0G0032700;0;0;0;0;0;0
RC0G0032800;0;0;0;0;0;0
RC0G0032900;0;0;0;1;0;0
RC0G0033000;0;0;1;0;0;0
RC0G0033100;1;0;1;0;0;0
RC0G0033200;0;0;0;0;0;0
RC0G0033300;0;0;0;0;0;0
RC0G0033400;0;0;0;0;0;0
RC0G0033500;0;0;0;0;0;0
RC0G0033600;0;0;0;0;0;0
RC0G0033700;0;0;0;0;0;0
RC0G0033800;0;0;0;0;0;0
RC0G0033900;0;0;0;0;0;0
RC0G0034000;0;0;0;0;0;0
RC0G0034100;0;0;0;0;0;0
RC0G0034200;0;0;0;0;0;0
RC0G0034300;0;0;0;0;0;0
RC0G0034400;0;0;0;0;0;0
RC0G0034500;0;0;1;0;1;0
RC0G0034600;0;0;0;0;0;0
RC0G0034700;0;0;0;0;0;0
RC0G0034800;0;0;0;0;0;0
RC0G0034900;0;0;0;0;0;0
RC0G0035000;0;0;0;0;0;0
RC0G0035100;0;0;0;0;0;0
RC0G0035200;0;0;0;0;0;0
RC0G0035300;0;0;0;0;0;0
RC0G0035400;0;0;0;0;0;0
RC0G0035500;0;0;0;0;0;0
RC0G0035600;0;0;0;0;0;0
RC0G0035700;0;0;0;0;0;0
RC0G0035800;0;0;0;0;0;0
RC0G0035900;0;0;0;0;0;0
RC0G0036000;0;0;0;0;0;0
RC0G0036100;0;0;0;0;0;0
RC0G0036200;0;0;0;0;0;0
RC0G0036300;0;0;0;0;0;0
RC0G0036400;0;0;0;0;0;0
RC0G0036500;0;0;0;0;0;0
RC0G0036600;0;0;0;0;0;0
RC0G0036700;0;0;0;0;0;0
RC0G0036800;0;0;0;0;0;0
RC0G0036900;0;0;0;0;0;0
RC0G0037000;0;1;0;0;1;0
RC0G0037100;0;1;0;0;1;0
RC0G0037200;0;0;0;0;1;0
RC0G0037300;0;0;0;0;0;0
RC0G0037400;0;0;0;0;0;0
RC0G0037500;0;1;0;0;0;0
RC0G0037600;0;0;0;0;0;0
RC0G0037700;0;0;0;0;0;0
RC0G0037800;0;0;0;0;0;0
RC0G0037900;0;0;0;0;0;0
RC0G0038000;0;0;0;0;0;0
RC0G0038100;0;0;0;0;0;0
RC0G0038200;0;0;0;0;0;0
RC0G0038300;0;0;0;0;0;0
RC0G0038400;0;0;0;0;0;0
RC0G0038500;0;0;0;0;0;0
RC0G0038600;0;0;0;0;0;0
RC0G0038700;0;0;0;0;0;0
RC0G0038800;0;0;0;0;0;0
RC0G0038900;0;0;0;0;0;0
RC0G0039000;0;0;0;0;0;0
RC0G0039100;0;0;0;0;0;0
RC0G0039200;0;0;0;0;0;0
RC0G0039300;0;0;0;0;0;0
RC0G0039400;0;0;0;0;0;0
RC0G0039500;0;0;0;0;0;0
RC0G0039600;0;0;0;0;0;0
RC0G0039700;0;0;0;0;0;0
RC0G0039800;0;0;0;0;0;0
RC0G0039900;0;0;0;0;0;0
RC0G0040000;0;0;0;0;0;0
RC0G0040100;0;0;0;0;0;0
RC0G0040200;0;0;0;0;0;0
RC0G0040300;0;0;0;0;0;0
RC0G0040400;0;0;0;0;0;0
RC0G0040500;0;0;0;0;0;0
RC0G0040600;0;0;0;0;0;0
RC0G0040700;0;0;0;0;0;0
RC0G0040800;0;0;0;0;0;0
RC0G0040900;0;0;0;0;0;0
RC0G0041000;0;0;0;0;0;0
RC0G0041100;0;0;0;0;0;0
RC0G0041200;0;0;0;0;0;0
RC0G0041300;0;0;0;0;0;0
RC0G0041400;0;0;0;0;0;0
RC0G0041500;0;0;0;0;0;0
RC0G0041600;0;0;0;0;0;0
RC0G0041700;0;0;0;0;0;0
RC0G0041800;0;0;0;0;0;0
RC0G0041900;0;1;0;1;0;0
RC0G0042000;0;0;0;0;0;0
RC0G0042100;0;0;0;0;0;0
RC0G0042200;0;0;0;0;0;0
RC0G0042300;0;0;0;0;0;0
RC0G0042400;0;0;0;0;0;0
RC0G0042500;1;0;0;0;0;0
RC0G0042600;0;0;0;0;0;0
RC0G0042700;0;0;0;0;0;0
RC0G0042800;0;0;0;0;0;0
RC0G0042900;0;0;0;0;0;0
RC0G0043000;0;0;0;0;0;0
RC0G0043100;0;0;0;0;0;0
RC0G0043200;0;0;0;0;0;0
RC0G0043300;0;0;0;0;0;0
RC0G0043400;0;0;0;0;0;0
RC0G0043500;0;0;0;0;0;0
RC0G0043600;0;0;0;0;0;0
RC0G0043700;0;0;0;0;0;0
RC0G0043800;0;0;0;0;0;0
RC0G0043900;0;0;0;0;0;0
RC0G0044000;0;0;0;0;0;0
RC0G0044100;0;0;0;0;0;0
RC0G0044200;0;0;0;0;0;0
RC0G0044300;0;0;0;0;0;0
RC0G0044400;0;0;0;0;0;0
RC0G0044500;0;0;0;0;0;1
RC0G0044600;0;0;0;0;0;0
RC0G0044700;0;0;0;0;0;0
RC0G0044800;0;0;0;0;0;0
RC0G0044900;0;0;0;0;0;0
RC0G0045000;0;0;0;0;0;0
RC0G0045100;0;0;0;0;0;0
RC0G0045200;0;0;0;0;0;0
RC0G0045300;0;0;0;0;0;0
RC0G0045400;0;0;0;0;0;0
RC0G0045500;0;0;0;0;0;0
RC0G0045600;0;0;0;0;0;0
RC0G0045700;0;0;0;0;0;0
RC0G0045800;0;0;0;0;0;0
RC0G0045900;0;0;0;0;0;0
RC0G0046000;0;0;0;0;0;0
RC0G0046100;0;0;0;0;0;0
RC0G0046200;0;0;0;0;0;0
RC0G0046300;0;0;0;0;0;0
RC0G0046400;0;1;0;1;0;0
RC0G0046500;0;0;0;0;0;0
RC0G0046600;0;0;0;0;0;0
RC0G0046700;0;0;0;1;0;0
RC0G0046800;0;0;0;0;0;0
RC0G0046900;0;0;0;0;0;0
RC0G0047000;0;0;0;0;0;0
RC0G0047100;0;0;0;0;0;0
RC0G0047200;0;0;0;0;0;0
RC0G0047300;0;0;0;0;0;0
RC0G0047400;0;0;0;0;0;0
RC0G0047500;0;0;0;0;0;0
RC0G0047600;0;0;0;0;0;0
RC0G0047700;0;0;0;0;0;0
RC0G0047800;0;0;0;0;0;0
RC0G0047900;0;0;0;0;0;0
RC0G0048000;0;0;0;0;0;0
RC0G0048100;0;1;0;1;0;1
RC0G0048200;0;0;0;0;0;0
RC0G0048300;1;0;0;0;0;0
RC0G0048400;0;0;0;0;0;0
RC0G0048500;0;0;0;0;0;1
RC0G0048600;0;0;0;0;0;0
RC0G0048700;0;0;0;0;0;0
RC0G0048800;0;1;0;1;0;0
RC0G0048900;0;1;0;0;1;0
RC0G0049000;0;0;0;0;0;0
RC0G0049100;0;0;0;0;0;0
RC0G0049200;0;0;0;0;0;0
RC0G0049300;0;0;0;0;0;0
RC0G0049400;0;0;0;0;0;0
RC0G0049500;0;0;0;0;0;0
RC0G0049600;0;0;0;0;0;0
RC0G0049700;0;0;0;0;0;0
RC0G0049800;0;0;0;0;0;0
RC0G0049900;0;0;0;0;0;0
RC0G0050000;0;0;0;0;0;0
RC0G0050100;0;0;0;0;0;0
RC0G0050200;1;0;0;0;0;0
RC0G0050300;0;0;0;0;0;0
RC0G0050400;0;0;0;0;0;0
RC0G0050500;0;0;0;0;0;0
RC0G0050600;1;0;0;0;0;0
RC0G0050700;0;0;0;0;0;0
RC0G0050800;0;0;0;0;0;0
RC0G0050900;0;0;0;0;0;0
RC0G0051000;1;0;0;0;0;0
RC0G0051100;0;0;0;0;0;0
RC0G0051200;0;0;0;0;0;0
RC0G0051300;0;0;0;0;0;0
RC0G0051400;0;0;0;0;0;0
RC0G0051500;1;0;0;0;0;0
RC0G0051600;0;0;0;0;0;0
RC0G0051700;0;0;0;0;0;0
RC0G0051800;0;0;0;0;0;0
RC0G0051900;0;0;0;0;0;0
RC0G0052000;0;0;0;0;0;0
RC0G0052100;0;0;0;0;0;0
RC0G0052200;0;0;0;1;0;0
RC0G0052300;0;0;0;0;0;0
RC0G0052400;0;0;0;0;0;0
RC0G0052500;0;0;0;0;0;0
RC0G0052600;0;0;0;1;0;1
RC0G0052700;0;0;0;0;0;0
RC0G0052800;0;0;0;0;0;0
RC0G0052900;0;0;0;0;0;1
RC0G0053000;0;0;0;0;0;0
RC0G0053100;1;0;0;0;0;1
RC0G0053200;0;0;0;0;0;0
RC0G0053300;0;0;0;1;0;1
RC0G0053400;1;0;0;0;0;1
RC0G0053500;1;0;0;0;0;1
RC0G0053600;0;0;0;0;0;0
RC0G0053700;0;0;0;0;0;0
RC0G0053800;0;0;1;0;1;0
RC0G0053900;1;0;0;0;0;1
RC0G0054000;0;0;0;0;0;0
RC0G0054100;0;0;0;0;0;0
RC0G0054200;0;0;0;1;0;1
RC0G0054300;0;0;0;1;0;1
RC0G0054400;1;0;0;0;0;1
RC0G0054500;0;0;0;0;0;0
RC0G0054600;0;0;0;0;0;0
RC0G0054700;0;0;0;0;0;0
RC0G0054800;0;1;0;1;0;0
RC0G0054900;0;0;0;0;0;0
RC0G0055000;0;0;0;0;0;0
RC0G0055100;0;0;0;0;0;0
RC0G0055200;0;0;0;0;0;0
RC0G0055300;0;0;0;0;0;0
RC0G0055400;0;0;0;0;0;0
RC0G0055500;0;0;1;0;0;0
RC0G0055600;0;0;0;0;0;0
RC0G0055700;0;0;0;0;0;0
RC0G0055800;1;0;0;0;0;0
RC0G0055900;0;0;0;0;0;0
RC0G0056000;0;0;0;0;0;0
RC0G0056100;0;0;0;0;0;0
RC0G0056200;0;0;0;0;0;0
RC0G0056300;1;0;0;0;0;0
RC0G0056400;0;1;0;0;0;0
RC0G0056500;0;1;0;0;1;0
RC0G0056600;0;0;0;0;0;0
RC0G0056700;0;0;0;0;0;0
RC0G0056800;0;0;0;0;0;0
RC0G0056900;0;0;0;0;0;0
RC0G0057000;0;0;0;0;0;0
RC0G0057100;0;0;0;0;0;0
RC0G0057200;0;0;0;1;0;0
RC0G0057300;0;0;0;0;0;0
RC0G0057400;0;0;0;0;0;0
RC0G0057500;0;0;0;0;0;0
RC0G0057600;0;0;0;0;0;0
RC0G0057700;0;0;0;0;0;0
RC0G0057800;0;0;0;0;0;0
RC0G0057900;0;0;0;0;0;0
RC0G0058000;0;0;0;1;0;0
RC0G0058100;0;0;0;0;0;0
RC0G0058200;0;0;0;0;0;0
RC0G0058300;0;0;0;0;0;0
RC0G0058400;1;0;0;0;0;1
RC0G0058500;1;0;0;0;0;1
RC0G0058600;0;0;0;0;0;0
RC0G0058700;0;0;0;1;0;1
RC0G0058800;0;0;0;0;0;0
RC0G0058900;0;0;0;0;0;0
RC0G0059000;0;0;0;0;0;0
RC0G0059100;0;0;0;1;0;1
RC0G0059200;0;0;0;0;0;0
RC0G0059300;0;0;0;0;0;0
RC0G0059400;0;0;0;0;0;0
RC0G0059500;0;0;0;0;0;0
RC0G0059600;0;0;0;0;0;0
RC0G0059700;0;0;0;0;0;0
RC0G0059800;0;0;0;0;0;0
RC0G0059900;0;0;0;0;0;0
RC0G0060000;0;0;0;0;0;0
RC0G0060100;0;0;0;0;0;0
RC0G0060200;0;0;0;0;0;0
RC0G0060300;0;0;0;0;0;0
RC0G0060400;0;0;0;0;0;0
RC0G0060500;0;0;0;0;0;0
RC0G0060600;0;0;0;1;0;1
RC0G0060700;0;0;0;0;0;0
RC0G0060800;0;0;0;0;0;0
RC0G0060900;0;0;0;0;0;0
RC0G0061000;0;0;0;0;0;0
RC0G0061100;0;0;0;0;0;0
RC0G0061200;1;0;1;0;0;0
RC0G0061300;0;0;0;0;0;0
RC0G0061400;0;0;0;0;0;0
RC0G0061500;0;0;0;0;1;0
RC0G0061600;0;0;0;0;0;0
RC0G0061700;0;0;0;0;0;0
RC0G0061800;0;0;0;0;0;0
RC0G0061900;0;0;0;0;0;0
RC0G0062000;0;0;0;0;0;0
RC0G0062100;0;0;0;0;0;0
RC0G0062200;0;0;0;0;0;0
RC0G0062300;0;0;0;0;0;0
RC0G0062400;0;0;0;0;0;0
RC0G0062500;0;0;0;0;0;0
RC0G0062600;0;0;0;0;0;0
RC0G0062700;0;0;0;0;0;0
RC0G0062800;0;0;0;0;0;0
RC0G0062900;0;0;0;1;0;1
RC0G0063000;0;0;0;1;0;0
RC0G0063100;0;0;0;0;0;0
RC0G0063200;0;0;0;0;0;0
RC0G0063300;0;0;0;0;0;0
RC0G0063400;0;0;0;0;0;0
RC0G0063500;0;0;0;0;0;0
RC0G0063600;0;0;0;0;0;0
RC0G0063700;0;0;0;0;0;0
RC0G0063800;0;0;0;0;0;0
RC0G0063900;0;0;0;0;0;0
RC0G0064000;0;0;0;0;0;0
RC0G0064100;0;0;0;0;0;0
RC0G0064200;0;0;0;0;0;0
RC0G0064300;0;0;0;0;0;0
RC0G0064400;0;0;0;0;0;0
RC0G0064500;0;0;0;0;0;0
RC0G0064600;0;0;0;0;1;0
RC0G0064700;0;0;0;0;0;0
RC0G0064800;0;0;0;0;0;0
RC0G0064900;0;0;0;0;0;0
RC0G0065000;0;0;0;0;0;0
RC0G0065100;0;0;0;0;0;0
RC0G0065200;0;0;0;0;0;0
RC0G0065300;0;0;0;0;0;0
RC0G0065400;0;0;0;0;0;0
RC0G0065500;0;0;0;0;0;0
RC0G0065600;0;0;0;0;0;0
RC0G0065700;0;0;0;0;0;0
RC0G0065800;0;0;0;0;0;0
RC0G0065900;0;0;0;0;0;0
RC0G0066000;0;0;0;0;0;0
RC0G0066100;0;0;1;0;1;0
RC0G0066200;0;0;0;0;0;0
RC0G0066300;0;0;0;0;0;0
RC0G0066400;0;0;0;0;0;0
RC0G0066500;0;0;0;0;0;0
RC0G0066600;0;0;0;0;0;0
RC0G0066700;0;0;0;0;0;0
RC0G0066800;0;0;0;0;0;0
RC0G0066900;0;0;0;0;0;0
RC0G0067000;0;0;0;1;0;1
RC0G0067100;0;0;0;0;0;0
RC0G0067200;0;0;0;0;0;0
RC0G0067300;0;0;0;0;0;0
RC0G0067400;0;0;0;0;0;0
RC0G0067500;0;0;0;0;0;0
RC0G0067600;0;0;0;0;0;0
RC0G0067700;0;0;1;0;0;0
RC0G0067800;0;0;0;0;0;0
RC0G0067900;0;0;0;0;0;0
RC0G0068000;0;0;0;0;0;0
RC0G0068100;0;0;0;0;0;0
RC0G0068200;0;0;1;0;0;0
RC0G0068300;0;0;0;0;0;0
RC0G0068400;0;0;1;0;0;0
RC0G0068500;0;0;0;0;0;0
RC0G0068600;0;1;0;0;0;0
RC0G0068700;0;0;1;0;0;0
RC0G0068800;0;0;0;1;0;1
RC0G0068900;0;0;0;0;0;0
RC0G0069000;0;0;0;0;0;0
